,Unnamed: 0,time,accX,accY,accZ,gyrX,gyrY,gyrZ,y,x
76,76,1.518153190612793,0.0,0.17,9.94,-0.0316340926923972,-0.0687223392972767,0.035997415822383,-0.30050771503133317,0.03396949833431284
77,77,1.5398013591766357,0.58,0.18,9.75,0.0,-0.0283616003449078,0.0610865238198015,-0.3058390345812197,0.03439458793321119
78,78,1.5567221641540527,0.06,-0.05,10.04,-0.0054541539124822,0.047996554429844,0.0414515697348653,-0.31001638453688746,0.034720504402911606
79,79,1.5769968032836914,0.29,-0.41,9.43,0.0719948316447661,0.0589048622548086,0.0447240620823546,-0.315032924059379,0.03510388845767935
80,80,1.5963258743286133,-0.6900000000000001,-0.37,9.71,-0.0207257848674326,0.110173909032142,0.011999138607461,-0.3198262560945913,0.035462348698288335
81,81,1.6152970790863037,-0.2,0.67,10.12,-0.0163624617374468,0.0610865238198015,0.023998277214922,-0.3245404341756359,0.03580767905042452
82,82,1.6378836631774902,0.28,-0.16,10.21,-0.0065449846949787,0.0425424005173617,0.0643590161672909,-0.33016456554810775,0.03621068992071749
83,83,1.6546030044555664,-0.31,0.01,9.08,-0.0174532925199432,-0.0043633231299858,0.0567232006898157,-0.3343352777955512,0.03650349329635111
84,84,1.6736114025115967,-0.13,0.1,9.6,-0.0076358154774751,0.0316340926923972,0.023998277214922,-0.33908423358270406,0.036830860553614134
85,85,1.6929302215576172,0.68,0.08,9.73,0.0338157542573901,0.1123555705971349,0.0610865238198015,-0.3439180487920096,0.03715773549842394
86,86,1.7102253437042236,-0.09,0.15,9.7,0.0,0.0403607389523688,0.0567232006898157,-0.34825126820915475,0.03744553546006307
87,87,1.7304461002349854,-0.28,0.25,9.77,0.0458148928648511,0.0676315085147802,0.0403607389523688,-0.3533238069481657,0.03777642353210252
88,88,1.750389814376831,0.48,-0.01,9.37,-0.0261799387799149,0.0490873852123405,0.0785398163397448,-0.3583329073538394,0.03809707724977153
89,89,1.769441843032837,0.14,0.22,9.67,-0.0021816615649929,0.0087266462599716,0.0829031394697306,-0.36312310958792265,0.038398305872845345
90,90,1.7904818058013916,-0.03,-0.14,9.56,-0.0250891079974184,-0.0523598775598298,0.0839939702522271,-0.36841825700176406,0.03872541678926383
91,91,1.8074619770050049,0.05,-0.36,9.67,0.0174532925199432,0.0272707695624114,0.074176493209759,-0.37269516347722875,0.03898532963035248
92,92,1.82808256149292,0.35,-0.15,9.27,-0.035997415822383,0.0512690467773334,0.0927206165121987,-0.37789269256162156,0.03929627121174695
93,93,1.8481814861297607,0.03,0.15,10.13,-0.0523598775598298,0.0196349540849362,0.0687223392972767,-0.38296213483498615,0.03959460481298381
94,94,1.867830753326416,-0.22,-0.17,10.33,-0.0021816615649929,0.0054541539124822,0.0490873852123405,-0.38792094857880044,0.039881952080955976
95,95,1.8896105289459229,0.08,0.05,9.92,-0.0087266462599716,0.0567232006898157,0.0403607389523688,-0.39342015297478466,0.040195724913377556
